INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_LOCATION,CITY,STATE,ZIP,REPORTING_DISTRICT,GEO_LOCATION,PERSON_AGE,PERSON_RACE,MENTAL_HEALTH_CONCERNS,CRIMINAL_HISTORY,WOUNDED,DECEASED,ON_PROBATION,ON_PAROLE,UNDER_THE_INFLUENCE,SUBSTANCE_NAME,#_INVOLVED_DEPUTIES,WEAPON_INVOLVED_CATEGORY,WEAPON_INVOLVED_CAT_DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1000405,NON-HIT SHOOTING INCIDENT,5/30/12 22:50,1100 SOUTH DWIGHT AVENUE,COMPTON,CA,90220,2833,"1100 SOUTH DWIGHT AVENUE
COMPTON, CA 90220
(33.885734, -118.240825)",31,BLACK,N,Y,N,N,N,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.885734,-118.240825
1000479,HIT SHOOTING INCIDENT,2/14/14 12:20,1100 E. PACIFIC COAST HIGHWAY,LONG BEACH,CA,90806,1399,"1100 E. PACIFIC COAST HIGHWAY
LONG BEACH, CA 90806
(33.78985, -118.178393)",37,HISPANIC,N,Y,Y,N,Y,N,N,,2,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.78985,-118.178393
1000427,HIT SHOOTING INCIDENT,11/23/12 11:08,1600 E 118TH PLACE,LOS ANGELES,CA,90059,2131,"1600 E 118TH PLACE
LOS ANGELES, CA 90059
(33.925162, -118.246416)",31,BLACK,N,Y,Y,N,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.925162,-118.246416
1001932,HIT SHOOTING INCIDENT,6/11/20 5:22,600 WEST AVENUE H-12,LANCASTER,CA,93534,1121,"600 WEST AVENUE H-12
LANCASTER, CA 93534
(34.707956, -118.141874)",61,B,N,N,,Y,,,,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.707956,-118.141874
1000406,HIT SHOOTING INCIDENT,6/21/12 12:00,11500 ATLANTIC BLVD,LYNWOOD,CA,90262,2114,"11500 ATLANTIC BLVD
LYNWOOD, CA 90262
(33.920226, -118.187786)",27,HISPANIC,N,Y,N,Y,Y,N,Y,HALLUCINOGEN,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,33.920226,-118.187786
1000461,HIT SHOOTING INCIDENT,10/6/13 17:47,28600 CLOVERLEAF PLACE,CASTAIC,CA,91384,675,"28600 CLOVERLEAF PLACE
CASTAIC, CA 91384
(34.485702, -118.636172)",53,WHITE,Y,N,N,Y,N,N,N,,3,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.485702,-118.636172
1001404,HIT SHOOTING INCIDENT,2/6/18 22:00,5000 EAST 3RD STREET,EAST LOS ANGELES,CA,90022,282,"5000 EAST 3RD STREET
EAST LOS ANGELES, CA 90022
(34.033441, -118.161978)",37,HISPANIC,N,N,N,Y,N,N,,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.033441,-118.161978
1000312,NON-HIT SHOOTING INCIDENT,8/25/10 20:40,800 E. 88TH STREET,LOS ANGELES,CA,90002,2199,"800 E. 88TH STREET
LOS ANGELES, CA 90002
(33.957423, -118.260254)",29,BLACK,N,Y,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.957423,-118.260254
1000873,HIT SHOOTING INCIDENT,9/1/16 0:00,"1700 BLK E 84TH STREET, LA",LOS ANGELES,CA,90001,2174,"1700 BLK E 84TH STREET, LA
LOS ANGELES, CA 90001
(33.961791, -118.241796)",23,HISPANIC,N,N,N,Y,N,N,,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.961791,-118.241796
1001101,HIT SHOOTING INCIDENT,4/12/17 1:07,1500 EAST 91ST STREET,LOS ANGELES,CA,90002,2176,"1500 EAST 91ST STREET
LOS ANGELES, CA 90002
(33.954482, -118.246867)",28,BLACK,N,N,N,Y,N,N,Y,MARIJUANA,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.954482,-118.246867
1000352,HIT SHOOTING INCIDENT,5/24/11 6:44,2000 EAST 76TH STREET,LOS ANGELES,CA,90001,2173,"2000 EAST 76TH STREET
LOS ANGELES, CA 90001
(33.971921, -118.236815)",21,HISPANIC,N,Y,Y,N,Y,Y,Y,HALLUCINOGEN,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.971921,-118.236815
1000508,HIT SHOOTING INCIDENT,5/14/13 21:15,7200 RICHFIELD AVENUE,PARAMOUNT,CA,90723,1364,"7200 RICHFIELD AVENUE
PARAMOUNT, CA 90723
(33.901823, -118.173125)",37,HISPANIC,N,N,N,Y,Y,N,Y,MARIJUANA,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.901823,-118.173125
1001887,HIT SHOOTING INCIDENT,3/1/20 14:29,23700 MAGIC MOUNTAIN PARKWAY,SANTA CLARITA,CA,91355,620,"23700 MAGIC MOUNTAIN PARKWAY
SANTA CLARITA, CA 91355
(34.416365, -118.551249)",32,H,,,,Y,,,,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.416365,-118.551249
1001362,NON-HIT SHOOTING INCIDENT,12/30/17 23:05,8000 COMPTON AVENUE,LOS ANGELES,CA,90001,2174,"8000 COMPTON AVENUE
LOS ANGELES, CA 90001
(33.963318, -118.24769)",23,HISPANIC,N,N,,,,,,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.963318,-118.24769
1000660,HIT SHOOTING INCIDENT,12/20/15 2:58,37900 47TH STREET EAST,PALMDALE,CA,93552,2607,"37900 47TH STREET EAST
PALMDALE, CA 93552
(34.570664, -118.045023)",30,BLACK,N,N,N,Y,,,,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,34.570664,-118.045023
1000431,HIT SHOOTING INCIDENT,1/10/13 16:08,HOLBROOK STREET AND  MORRILL AVENUE,WHITTIER,CA,90606,1575,"HOLBROOK STREET AND MORRILL AVENUE
WHITTIER, CA 90606
(33.98877699757226, -118.06652900741804)",16,HISPANIC,N,Y,N,Y,Y,N,Y,CNS STIMULANT,7,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.988777,-118.066529
1000404,HIT SHOOTING INCIDENT,1/21/13 4:59,98TH STREET AND HARVARD BL,LOS ANGELES,CA,90047,374,"98TH STREET AND HARVARD BL
LOS ANGELES, CA 90047
(33.94679698972651, -118.30679698825921)",26,BLACK,N,Y,Y,N,Y,Y,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.94679699,-118.306797
1001710,HIT SHOOTING INCIDENT,6/6/19 12:28,2000 BRIGHTON STREET,SAN GABRIEL,CA,91776,3199,"2000 BRIGHTON STREET
SAN GABRIEL, CA 91776
(34.072995, -118.098158)",35,HISPANIC,,,,Y,,,,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.072995,-118.098158
1000504,HIT SHOOTING INCIDENT,11/16/14 2:39,5300 EAST VERONA STREET,EAST LOS ANGELES,CA,90022,286,"5300 EAST VERONA STREET
EAST LOS ANGELES, CA 90022
(34.018034, -118.156987)",26,HISPANIC,N,N,N,Y,N,N,Y,ALCOHOL,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.018034,-118.156987
1000328,HIT SHOOTING INCIDENT,11/8/10 22:17,1600 E. 123RD STREET,LOS ANGELES,CA,90059,2134,"1600 E. 123RD STREET
LOS ANGELES, CA 90059
(33.920875, -118.245665)",21,BLACK,N,N,N,Y,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.920875,-118.245665
1000445,HIT SHOOTING INCIDENT,5/11/13 22:02,4100 WALNUT STREET,CUDAHY,CA,90201,261,"4100 WALNUT STREET
CUDAHY, CA 90201
(33.969949, -118.195354)",34,HISPANIC,N,N,N,Y,Y,N,Y,OTHER/UNKNOWN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.969949,-118.195354
1000341,HIT SHOOTING INCIDENT,2/18/11 23:27,900 E NEW YORK DRIVE,ALTADENA,CA,91001,774,"900 E NEW YORK DRIVE
ALTADENA, CA 91001
(34.178443, -118.131826)",33,BLACK,N,Y,N,Y,Y,N,Y,ALCOHOL,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.178443,-118.131826
1000516,HIT SHOOTING INCIDENT,3/3/15 15:30,12400 215TH STREET,LAKEWOOD,CA,90711,1328,"12400 215TH STREET
LAKEWOOD, CA 90711
(33.833696, -118.067747)",50,HISPANIC,N,N,Y,N,N,Y,N,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.833696,-118.067747
1001622,HIT SHOOTING INCIDENT,9/24/18 9:24,700 WEST SPRUCE STREET,COMPTON,CA,90220,2814,"700 WEST SPRUCE STREET
COMPTON, CA 90220
(33.903341, -118.238035)",18,BLACK,N,N,Y,,,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.903341,-118.238035
1000349,HIT SHOOTING INCIDENT,4/5/11 20:59,800 E. 76TH PLACE,LOS ANGELES,CA,90001,2172,"800 E. 76TH PLACE
LOS ANGELES, CA 90001
(33.970271, -118.260616)",23,HISPANIC,N,Y,Y,N,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.970271,-118.260616
1000345,HIT SHOOTING INCIDENT,3/10/11 20:35,3300 FAIRMAN ST,LAKEWOOD,CA,90723,1323,"3300 FAIRMAN ST
LAKEWOOD, CA 90723
(33.841764, -118.153149)",23,BLACK,N,Y,Y,N,Y,N,N,,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.841764,-118.153149
1000362,HIT SHOOTING INCIDENT,10/5/11 22:50,12900 GLENDA STREET,CERRITOS,CA,90703,2316,"12900 GLENDA STREET
CERRITOS, CA 90703
(33.872686, -118.057597)",24,BLACK,N,Y,Y,N,Y,Y,N,,1,C-1,STRUGGLE OVER DEPUTY WEAPON:  Suspect attempted to disarm deputy,33.872686,-118.057597
1000410,NON-HIT SHOOTING INCIDENT,8/16/12 1:40,W. 127TH STREET AND NORMANDIE AVENUE,LOS ANGELES,CA,90047,377,"W. 127TH STREET AND NORMANDIE AVENUE
LOS ANGELES, CA 90047
(33.917363, -118.300408)",25,BLACK,N,N,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.917363,-118.300408
1000457,HIT SHOOTING INCIDENT,9/14/13 22:14,"1400 
EAST GAGE AVENUE",LOS ANGELES,CA,90001,2170,"1400 EAST GAGE AVENUE
LOS ANGELES, CA 90001
(33.982041, -118.249885)",22,HISPANIC,N,Y,Y,N,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.982041,-118.249885
1000462,HIT SHOOTING INCIDENT,10/6/13 15:30,6000 BLOCK OF WEST VENICE BLVD,LOS ANGELES,CA,90034,6893,"6000 BLOCK OF WEST VENICE BLVD
LOS ANGELES, CA 90034
(34.006282, -118.428977)",49,BLACK,N,N,N,Y,N,N,N,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.006282,-118.428977
1000481,NON-HIT SHOOTING INCIDENT,4/12/14 21:50,6000 6TH ST AND SCHOOL AVE,LOS ANGELES,CA,90022,287,"6000 6TH ST AND SCHOOL AVE
LOS ANGELES, CA 90022
(34.02163033089236, -118.14077009956586)",28,HISPANIC,Y,Y,N,N,Y,Y,Y,OTHER/UNKNOWN,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.02163033,-118.1407701
1000487,HIT SHOOTING INCIDENT,5/24/14 1:50,8400 SUNSET BLVD,WEST HOLLYWOOD,CA,90069,987,"8400 SUNSET BLVD
WEST HOLLYWOOD, CA 90069
(34.095248, -118.372652)",34,BLACK,N,Y,Y,N,Y,N,Y,MARIJUANA,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.095248,-118.372652
1000684,HIT SHOOTING INCIDENT,2/14/16 3:50,4800 WHITTIER BOULEVARD,LOS ANGELES,CA,90022,294,"4800 WHITTIER BOULEVARD
LOS ANGELES, CA 90022
(34.02154, -118.1636)",29,HISPANIC,N,Y,N,Y,Y,N,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.02154,-118.1636
1000309,NON-HIT SHOOTING INCIDENT,6/27/10 3:20,22400 PLATINO AVENUE,MISSION VIEJO,CA,92691,5199,"22400 PLATINO AVENUE
MISSION VIEJO, CA 92691
(33.637413, -117.664361)",20,WHITE,N,Y,N,N,N,Y,Y,ALCOHOL,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.637413,-117.664361
1000369,HIT SHOOTING INCIDENT,12/16/11 3:34,14500 EAST VALLEY BLVD,LA PUENTE,CA,91746,1463,"14500 EAST VALLEY BLVD
LA PUENTE, CA 91746
(34.035250538345565, -117.97699300116035)",29,HISPANIC,N,Y,Y,N,N,N,Y,HALLUCINOGEN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.03525054,-117.976993
1000360,HIT SHOOTING INCIDENT,8/20/11 20:30,1400 SOUTH DOWNEY ROAD,LOS ANGELES,CA,90063,278,"1400 SOUTH DOWNEY ROAD
LOS ANGELES, CA 90063
(34.014597, -118.180012)",19,HISPANIC,N,N,N,Y,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.014597,-118.180012
1000333,HIT SHOOTING INCIDENT,12/1/10 15:07,4700 HAMMEL STREET,EAST LOS ANGELES,CA,90022,281,"4700 HAMMEL STREET
EAST LOS ANGELES, CA 90022
(34.042411, -118.164841)",20,HISPANIC,N,Y,Y,N,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.042411,-118.164841
1001926,HIT SHOOTING INCIDENT,5/26/20 17:15,1100  W. 109TH PLACE,LOS ANGELES,CA,90044,375,"1100 W. 109TH PLACE
LOS ANGELES, CA 90044
(33.936723, -118.296257)",18,HISPANIC,N,N,,Y,,,,,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.936723,-118.296257
1000473,HIT SHOOTING INCIDENT,12/29/13 1:20,2500 EL TORO ROAD,MONROVIA,CA,91010,583,"2500 EL TORO ROAD
MONROVIA, CA 91010
(34.119987, -117.992453)",24,HISPANIC,N,Y,Y,N,Y,N,N,,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.119987,-117.992453
1000329,NON-HIT SHOOTING INCIDENT,11/11/10 17:35,300 CLAUDE STREET,COMPTON,CA,90220,2836,"300 CLAUDE STREET
COMPTON, CA 90220
(33.886113, -118.225869)",22,BLACK,N,N,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.886113,-118.225869
1000349,HIT SHOOTING INCIDENT,4/5/11 20:59,800 E. 76TH PLACE,LOS ANGELES,CA,90001,2172,"800 E. 76TH PLACE
LOS ANGELES, CA 90001
(33.970271, -118.260616)",24,HISPANIC,N,Y,Y,N,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.970271,-118.260616
1000438,HIT SHOOTING INCIDENT,5/1/13 19:25,ADON AVENUE EAST AND SIERRA HIGHWAY,CANYON COUNTRY,CA,91351,631,"ADON AVENUE EAST AND SIERRA HIGHWAY
CANYON COUNTRY, CA 91351
(34.425456997911546, -118.44879297512091)",28,WHITE,N,N,Y,N,Y,N,Y,OTHER/UNKNOWN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.425457,-118.448793
1000351,HIT SHOOTING INCIDENT,5/22/11 6:30,114TH STREET AND  COMPTON AVENUE,LOS ANGELES,CA,90059,2199,"114TH STREET AND COMPTON AVENUE
LOS ANGELES, CA 90059
(33.93113097976049, -118.2462580258388)",21,BLACK,N,Y,Y,N,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.93113098,-118.246258
1000315,NON-HIT SHOOTING INCIDENT,10/3/10 1:13,8200 SANTA MONICA BOULEVARD,WEST HOLLYWOOD,CA,90046,975,"8200 SANTA MONICA BOULEVARD
WEST HOLLYWOOD, CA 90046
(34.09075, -118.367162)",21,BLACK,N,N,N,N,N,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.09075,-118.367162
